#,Topic,Source A,Source B,Question,MVP-blocking?,Resolution Status
C-1,Validation timing,"[S29]: ""while a grant-recipient fills out a form"" (during-entry implied)",[S21]: review page validation; partial saves with invalid data allowed,When does validation fire? Determines form UX architecture.,Yes,Open — listed as open decision in gap analysis
C-2,MVP pilot size,[S24]: 20+ tribal recipients,Other refs: 10–12 pilot cohort,Is 20+ the target or aspirational? Sets support staffing.,No,Open — listed as open decision in gap analysis
C-3,FISMA classification,[S24] NFR4: FISMA Moderate ([S29] does NOT specify a level),[S12]: Rev5-Low controls,Low or Moderate baseline? Determines entire security posture.,Yes,Open — listed as open decision in gap analysis
C-4,MVP scope — APIs,[S29]: Must priority,[S21]: Out of scope; [S31]: stretch goal; [S39]: read-only only,"Are APIs in MVP? If so, read-only per [S35]/[S39].",No,Effectively resolved — read-only API exists (DA-01 ⚠️); 7 GET endpoints via Django Ninja
C-5,MVP scope — Authorization,[S29]: Must priority (PM-01–PM-05),[S21]: Out of scope,"Is authz in MVP? Without it, how distinguish who can submit vs view?",Yes,"Effectively resolved by implementation — org-level admin/editor/viewer roles implemented (PM-01 ✅, PM-08 ⚠️); MATRIX.md still marks PM-08 as conflict"
C-6,MVP scope — Notifications,[S29]: Must priority,[S21]: Out of scope,Are notifications in MVP? No deadline alerts otherwise.,No,Open — no notification infrastructure exists; WF-13/WF-14 are 🔮 deferred
C-7,MVP scope — Approval workflows,[S29]: Must priority,[S21]: Out of scope,Are federal approval workflows in MVP? No approve/revise pipeline otherwise.,Yes,Effectively resolved by deferral — WF-09 marked 🔮 in MATRIX.md; review workflow questions remain open for Phase II (see D-07 below)
C-8,Contract duration,[S29]: 12+12 = 24 months,"[S02]: ""1 year + 9 month option"" = 21 months",Which is correct? Affects planning horizon.,No,Open
C-9,User satisfaction metric,[S24]: ≥80% easier than PDFs,Other refs: ≥4/5 satisfaction score,Different measurement frameworks.,No,Open
C-10,PDF generation tech,[S18]: WeasyPrint,Other refs: headless Chrome,Which approach? Determines deployment constraint.,No,"Effectively resolved — WeasyPrint in production (IT-07 ✅); synchronous, needs async wrapper"
C-11,Competing platform,CSFEER (this project),[S13]: $1.2M GrantSolutions dev,"What happened to the OLDC effort? Competitive, fallback, or abandoned?",No,Open
C-12,Transition plan duration,[S33]: 4 weeks (2 sprint cycles),[S35]: 90-day plan (doc audit → training → parallel ops),4 weeks vs 90 days — order-of-magnitude difference.,No,Open
C-13,Login.gov in MVP?,[S39] AC-02: Login.gov working for all pilot users,[S31] AS-18: MVP uses basic sessions; Login.gov deferred,Acceptance criterion contradicts Q1 plan.,Yes,Open — auth blocked on ACF NGSC environment access; not a code problem (see D-04)
