id,title,status,priority,issue_type,created_by,created_at,updated_at,closed_at,close_reason,deleted_at,deleted_by,delete_reason,original_type,description
bd-1,USWDS Component Library Implementation,in_progress,3,epic,,2025-11-04T20:55:52Z,2025-12-16T17:56:01Z,,,,,,,"*Discovery Need:* N
{*}Problem Statement:{*} We need all 50+ USWDS components implemented as reusable building blocks so that when designs are ready, implementation is trivial and consistent.

*Decision Framework:*
 * Use existing USWDS documentation as the source of truth
 * Each component must be fully accessible and Section 508 compliant
 * Components should be framework-agnostic but initially implemented in React/Django
 * Prioritize most commonly used form components first

*Definition of Done + Success Criteria:*
 * All ~50 USWDS components implemented and documented
 * Each component has proper TypeScript definitions
 * Component library is packaged for easy import/reuse
 * Storybook or similar documentation site shows all components
 * Components pass accessibility testing
 * *Success:* Design-to-implementation time reduced to <2 days per screen

Open Question: Do we need 50 discrete tasks for this to track progress?"
bd-2,Performance Monitoring and Analytics Setup,open,3,epic,,2025-11-04T21:00:06Z,2025-11-04T21:00:06Z,,,,,,,"*Discovery Need:* Y (need to define key performance indicators)
 *Problem Statement:* How might we monitor system performance and user behavior to ensure the platform meets performance requirements and user needs?

*Decision Framework:*
 * Implement privacy-compliant analytics
 * Focus on user experience metrics (Core Web Vitals)
 * Plan for government oversight and reporting requirements
 * Consider real user monitoring vs. synthetic testing

*Definition of Done + Success Criteria:*
 * Performance monitoring dashboard
 * User analytics (privacy-compliant)
 * Error tracking and alerting system
 * Performance budgets and alerts
 * *Success:* Can identify and resolve performance issues before they impact users"
bd-3,Implement Page Object Model for Authentication,open,3,feature,,2025-11-07T17:18:05Z,2025-11-07T17:22:15Z,,,,,,,"As a developer, I need reusable page objects for authentication flows to ensure consistent and maintainable E2E tests.

Acceptance Criteria:
- LoginPage class implemented with all authentication methods
- BasePage class for common page functionality
- Proper waiting strategies for OAuth redirects
- Error handling for login failures
- Logout functionality with proper cleanup

Technical Details:
- LoginPage methods: navigate_to_login(), login(), logout(), expect_logged_in()
- OAuth URL handling: configurable for different environments
- Element selectors: robust CSS selectors for Keycloak forms
- Error assertions: invalid credentials, network failures
- Session management: proper cleanup between tests

Files:
- tests/pages/base_page.py (base page object class)
- tests/pages/login_page.py (authentication page object)
- tests/pages/__init__.py (page object exports)"
bd-4,Create Test User Fixtures and Authentication Helpers,open,3,feature,,2025-11-07T17:18:29Z,2025-11-07T17:22:08Z,,,,,,,"As a developer, I need test user fixtures that mirror the Keycloak user setup for consistent E2E testing across different user roles.

Acceptance Criteria:
- Test user fixtures matching Keycloak seeded users
- Pytest fixtures for admin_page and demo_page
- Helper functions for dynamic user login
- User credential management with role information
- Proper test cleanup and session management

Technical Details:
- Test users: admin, demo, demo-1, demo-2 (matching users.csv)
- Roles mapping: csfeer_admin, csfeer_user
- Fixture scope: function-level with proper cleanup
- Login helper: login_as() function for dynamic user switching
- Session handling: automatic logout after test completion

Files:
- tests/fixtures/users.py (user fixtures and helpers)
- tests/conftest.py (authenticated_page fixture)"
bd-5,Implement Authentication Flow E2E Tests,open,3,feature,,2025-11-07T17:18:51Z,2025-11-07T17:22:02Z,,,,,,,"As a QA engineer, I need comprehensive E2E tests for the complete authentication flow including login, logout, and error scenarios.

Acceptance Criteria:
- Successful login test with valid credentials
- Logout functionality test
- Invalid credentials error handling test
- Protected page redirect test (unauthenticated access)
- Session persistence across page navigation

Technical Details:
- Test scenarios: happy path, error cases, edge cases
- User roles tested: demo user (regular user)
- Assertions: UI state changes, URL redirects, error messages
- OAuth flow: complete redirect cycle testing
- Session validation: user menu visibility, logout availability

Files:
- tests/e2e/test_auth_flow.py (authentication flow tests)"
bd-6,Implement User Role and Permissions E2E Tests,open,3,feature,,2025-11-07T17:19:14Z,2025-11-07T17:21:54Z,,,,,,,"As a QA engineer, I need E2E tests that verify user role-based access control and permissions work correctly in the UI.

Acceptance Criteria:
- Admin user login and session verification
- Regular user login and session verification
- Admin-only page access control (when implemented)
- Role-based navigation differences
- Multi-user login/logout cycle testing
- User switching functionality

Technical Details:
- Test users: admin (csfeer_admin + csfeer_user), demo (csfeer_user only)
- Access control: admin pages, user-specific features
- UI verification: user menu, navigation options, page content
- Session isolation: separate browser contexts for different users
- Role assertions: group membership reflected in UI

Files:
- tests/e2e/test_user_roles.py (user role and permission tests)"
bd-7,Implement Form Manager E2E Tests,open,3,feature,,2025-11-07T17:19:37Z,2025-11-07T17:21:47Z,,,,,,,"As a QA engineer, I need E2E tests for the form manager functionality including form listing, viewing, submission, and validation.

Acceptance Criteria:
- Forms page loads successfully for authenticated users
- Form details view functionality (when forms exist)
- Form submission with valid data (when implemented)
- Form validation error handling (when implemented)
- Form CRUD operations testing (when fully implemented)

Technical Details:
- Page navigation: /forms/ route testing
- Form interaction: clicking, filling, submitting
- Validation: required fields, data types, error messages
- Success feedback: submission confirmation
- Error handling: network failures, validation failures

Files:
- tests/pages/form_manager_page.py (form manager page object)
- tests/e2e/test_form_manager.py (form manager functionality tests)"
bd-8, Implement Navigation and Page Access E2E Tests,open,3,feature,,2025-11-07T17:19:57Z,2025-11-07T17:19:57Z,,,,,,,"As a QA engineer, I need E2E tests for general navigation, page loading, and authenticated user experience.

Acceptance Criteria:
- Home page loads correctly for authenticated users
- Navigation links are present and functional
- User navigation menu displays correctly
- Authenticated vs unauthenticated navigation differences
- 404 error handling for authenticated users (when implemented)

Technical Details:
- Page loading: home page, forms page, other main pages
- Navigation elements: user menu, logout link, main navigation
- Authentication state: visual indicators of login status
- URL routing: proper redirects and page loading
- Error pages: 404, 403, 500 error handling

Files:
- tests/e2e/test_navigation.py (navigation and page access tests)"
bd-9,Implement E2E Test CI/CD Integration,open,3,feature,,2025-11-07T17:20:16Z,2025-11-07T17:20:16Z,,,,,,,"As a DevOps engineer, I need E2E tests integrated into the CI/CD pipeline for automated testing on every deployment.

Acceptance Criteria:
- GitHub Actions workflow for E2E test execution
- Docker Compose integration for test environment
- Test results reporting and artifact collection
- Parallel test execution for faster feedback
- Failure notifications and debugging support

Technical Details:
- CI platform: GitHub Actions
- Test environment: Docker Compose with Keycloak + Django
- Browser: headless Chromium
- Artifacts: videos, traces, screenshots on failure
- Test selection: marker-based test filtering (@pytest.mark.e2e)

Files:
- .github/workflows/e2e-tests.yml (CI/CD workflow)
- docker-compose.test.yml (test environment configuration)
- Makefile (test execution commands)"
bd-10,Adjudication,open,3,epic,,2025-11-10T16:10:37Z,2025-11-10T16:10:37Z,,,,,,,Adjudication
bd-11,Reviewing existing research ,closed,3,feature,,2025-11-10T18:40:48Z,2025-12-04T19:39:36Z,2025-11-18T21:24:51Z,,,,,,"h2. Description
We start with reviewing existing research to gain context and ground ourselves with what's known as far as the forms goes, the current workflow around them. 

h3. Reference
* ACF website and [OCS CSBG Process Map|https://app.mural.co/t/hhsacf3483/m/hhsacf3483/1732215319839/2d606cb8d70c5e3d639f8cc31a92e91279d0b115]
"
bd-12,Service Blueprint Scaffold,closed,3,feature,,2025-11-10T18:42:06Z,2025-12-04T19:47:20Z,2025-11-18T21:26:53Z,,,,,,"h2. Description

Create a scaffold/framework of a service blueprint. Include known steps/process. 
h3. Resource
* [OCS CSBG Process Map|https://app.mural.co/t/hhsacf3483/m/hhsacf3483/1732215319839/2d606cb8d70c5e3d639f8cc31a92e91279d0b115]

h3. Open questions
 * Are there any existing diagrams to learn from?

h2. Deliverable

* [[Figjam] ACF Service Blueprint Scaffold|https://www.figma.com/board/zoPjGarJQBVwlMaIgISvq0/ACF-Exploration?node-id=178-2]"
bd-13,Configure Login.gov OAuth 2.0 Client Registration,open,2,feature,,2025-11-04T21:11:52Z,2025-11-12T14:52:36Z,,,,,,,"* {*}Story{*}: As a system administrator, I need to register our application with Login.gov so that we can receive OAuth client credentials and configure the integration.
 * {*}Acceptance Criteria{*}:
 ** Register application in Login.gov sandbox environment
 ** Obtain client ID and client secret
 ** Configure redirect URIs for both development and production
 ** Document client configuration settings
 * {*}Dependencies{*}: Login.gov account access"
bd-14,ACF Ecosystem Overview,closed,3,feature,,2025-11-10T18:42:29Z,2025-12-04T19:46:37Z,2025-11-10T23:08:53Z,,,,,,"h2. Description

Before we launch into this work, we want to understand the broader ecosystem in which this project sits and identify leadership across relevant offices and teams. 

This will also serve the team with orienting us on different offices and program they are responsible for, as well as familiarize ourselves on program goals and objectives. 

*Note:* Completed part of the work in Sprint 1 and part of it prior to officially starting sprints. 

h3. Resource
* ACF website

h3. Open questions
* Does this accurately reflect the current state of programs and offices within ACF?

h2. Deliverable
 * [[Figjam] ACF Org Chart |https://www.figma.com/board/zoPjGarJQBVwlMaIgISvq0/ACF-Exploration?node-id=168-1369&t=i33L5ZuF009nL8AB-4]
 * [[Figjam] OCS Programs|https://www.figma.com/board/zoPjGarJQBVwlMaIgISvq0/ACF-Exploration?node-id=170-347&t=i33L5ZuF009nL8AB-4]"
bd-15,User Research,open,3,epic,,2025-11-10T18:43:25Z,2026-01-28T18:08:05Z,,,,,,,This is a design epic
